tab 	specimens
analysts	citations	dir_bfv_dec	dir_bfv_inc	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	instrument_codes	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
	This study			Y214_chrm	0.1	313.9	63.7	0.2	1	8	0	Y214-9a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-21 18:15:47	u	Rhyolite	0.08	0.015	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y214-9	pmagpy-4.2.108: demag_gui	Y214-9a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y214-9		Y214-9a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y215-10		Y215-10a
	This study			Y215_chrm	1.1	330.2	66.8	0.9	1	13	0	Y215-10a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-03-31 18:20:55	u	Rhyolite	0.08	0.005	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y215-10	pmagpy-4.2.108: demag_gui	Y215-10a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y215-10		Y215-10b
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y215-1		Y215-1a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y215-1		Y215-1b
	This study			Y215_chrm	0.4	339.9	58.9	1.1	1	13	0	Y215-1b_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-05 16:01:44	u	Rhyolite	0.08	0.005	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y215-1	pmagpy-4.2.108: demag_gui	Y215-1b
	This study			Y215_chrm	0	341.2	62.1	0.6	1	13	0	Y215-2a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-06 15:24:54	u	Rhyolite	0.08	0.005	T	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	g	Y215-2	pmagpy-4.2.108: demag_gui	Y215-2a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y215-2		Y215-2a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y215-3		Y215-3a
	This study			Y215_chrm	0.9	329.3	70.3	0.8	1	7	0	Y215-3b_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-03-31 16:37:49	u	Rhyolite	0.08	0.025	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y215-3	pmagpy-4.2.108: demag_gui	Y215-3b
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y215-3		Y215-3b
	This study			Y215_chrm	0	323.9	59.6	1.6	1	1	0	Y215-4a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-20 11:41:49	u	Rhyolite	0.08	0.01	T	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	g	Y215-4	pmagpy-4.2.108: demag_gui	Y215-4a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y215-4		Y215-4a
	This study			Y215_chrm	1	326.7	54.5	1	1	16	0	Y215-5a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-03-29 11:42:33	u	Rhyolite	0.08	0	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y215-5	pmagpy-4.2.108: demag_gui	Y215-5a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y215-5		Y215-5a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y215-5		Y215-5b
	This study			Y215_chrm	2	331.3	66.9	1.6	1	13	0	Y215-6a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-03-31 17:12:13	u	Rhyolite	0.08	0.005	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y215-6	pmagpy-4.2.108: demag_gui	Y215-6a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y215-6		Y215-6a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y215-6		Y215-6b
	This study			Y215_chrm	0.9	323	65.6	0.8	1	7	0	Y215-6b_LP-DIR-T	Igneous:Extrusive	Lava Flow		u	Rhyolite	773	523	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	Y215-6	pmagpy-4.2.108: demag_gui	Y215-6b
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y215-7		Y215-7a
	This study			Y215_chrm	3.9	344.4	65.7	2.6	1	11	0	Y215-7a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-03-31 17:46:34	u	Rhyolite	0.08	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y215-7	pmagpy-4.2.108: demag_gui	Y215-7a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y215-7		Y215-7b
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y215-8		Y215-8a
	This study			Y215_chrm	0	327.4	66.2	1.1	1	14	0	Y215-8b_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-03-31 12:19:52	u	Rhyolite	0.08	0.0025	T	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	g	Y215-8	pmagpy-4.2.108: demag_gui	Y215-8b
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y215-8		Y215-8b
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y215-9		Y215-9a
	This study			Y215_chrm	0	337.8	64.9	1.5	1	13	0	Y215-9a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-03-29 12:17:04	u	Rhyolite	0.08	0.005	T	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	g	Y215-9	pmagpy-4.2.108: demag_gui	Y215-9a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y215-9		Y215-9b
	This study			Y215_chrm	0.4	345.1	64.8	0.5	1	6	0	Y215-9b_LP-DIR-T	Igneous:Extrusive	Lava Flow		u	Rhyolite	773	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	Y215-9	pmagpy-4.2.108: demag_gui	Y215-9b
